Project Name,Location,Square Feet,Flat Type,Property Type,Price,Possession Status,Amenities
Lansum El Dorado,Narsingi,1540,3 BHK,apartment,₹ 1.42 Cr,Ready To Move,"Gated Society, Affordable"
Prestige Tranquil,Kokapet,1390,5 BHK,,₹ 1.6 Cr,Ready To Move,"Gated Society, Affordable, Family"
Aurobindo The Regent,Serilingampally,1497,3 BHK,apartment,₹ 1.49 Cr,Ready To Move,
Pacifica Hillcrest Phase,Gachibowli,787,22 BHK,apartment,₹ 81.06 L,Under Construction,Prime Location
Urbanrise On Cloud,Bachupally,1110,332 BHK,apartment,₹ 77.7 L,Under Construction,Prime Location
Vasavi Solitaire Heights,Ameerpet,1761,3 BHK,apartment,₹ 1.85 Cr,Ready To Move,"Prime Location, Gated Society"
Sri Sai Residency Dammaiguda,Dammaiguda,940,2 BHK,,₹ 35 L,Ready To Move,Prime Location
Sumadhura Horizon,Kondapur,2000,3 BHK,apartment,₹ 2.25 Cr,Ready To Move,Safe & Secure Locality
Lodha Bellezza Sky Villas,Kukatpally,3400,3 BHK,apartment,₹ 4.4 Cr,Ready To Move,"Gated Society, Family"
Manjeera Trinity Homes,Kukatpally,2103,3 BHK,apartment,₹ 2.10 Cr,Ready To Move,Family
Rajasekhar Residency,Nizampet,1165,2 BHK,apartment,₹ 69 L,Ready To Move,"Safe & Secure Locality, Family"
Rajapushpa Provincia,Narsingi,2020,3 BHK,apartment,₹ 2.16 Cr,Under Construction,"Gated Society, Affordable, Family"
Sumadhura Acropolis,Gachibowli,1925,3 BHK,,₹ 2.5 Cr,,"Gated Society, Affordable, Family"
Hallmark Treasor,Gandipet,2540,4 BHK,,₹ 2.28 Cr,Ready To Move,
Raghava Wave,Tellapur,1680,3 BHK,apartment,₹ 1.20 Cr,Under Construction,"Safe & Secure Locality, Affordable"
Raghava Wave,Tellapur,1660,3 BHK,,₹ 1.21 Cr,Under Construction,Prime Location
The Prestige City Bellagio,Rajendra Nagar,1534,2 BHK,apartment,₹ 1.16 Cr,Ready To Move,Prime Location
Niharika Skyline,Khajaguda,2105,3 BHK,apartment,₹ 2.52 Cr,Ready To Move,"Gated Society, Prime Location"
Urbanrise Spring Is In The Air,Ameenpur,918,2 BHK,,₹ 68 L,Ready To Move,"Prime Location, Family"
Garuda Grandeur,Bowrampet,1502,3 BHK,apartment,₹ 93 L,,Family
Canny Aravindam,Bowrampet,1285,2 BHK,apartment,₹ 70 L,Under Construction,"Gated Society, Safe & Secure Locality, Family"
Prestige High Fields,Gachibowli,2713,4 BHK,apartment,₹ 3.30 Cr,Ready To Move,"Prime Location, Gated Society, Family"
EIPL Corner Stone,Gandipet,1410,5 BHK,apartment,₹ 1.47 Cr,Ready To Move,"Prime Location, Affordable"
BRC Sri Hemadurga Sivahills,Manikonda,1080,2 BHK,apartment,₹ 1.09 Cr,Ready To Move,"Prime Location, Gated Society, Affordable, Family"
Avantika The Espino,Chanda Nagar,1248,2 BHK,,₹ 85 L,Ready To Move,"Gated Society, Affordable"
DSR W,Kondapur,5999,4 BHK,apartment,₹ 7.2 Cr,Ready To Move,"Prime Location, Family"
Siri Towers Bachupally,Bachupally,1412,3 BHK,apartment,₹ 70 L,Ready To Move,"Affordable, Family"
